geoid,county_name,in_brightline_corridor,in_comparison_pool,treated_brightline,donor_pool,dist_to_nearest_station_mile,nearest_station,nearest_opened_year,exposure_0_0_5,exposure_0_5_1,exposure_1_2,exposure_2_3
12031013200,Duval,False,True,0,1,126.71071705670182,Orlando,2023.0,0.0,0.0,0.0,0.0
12031011600,Duval,False,True,0,1,137.23783088699352,Orlando,2023.0,0.0,0.0,0.0,0.0
12031012000,Duval,False,True,0,1,133.67311090039183,Orlando,2023.0,0.0,0.0,0.0,0.0
12031014500,Duval,False,True,0,1,131.35459765563152,Orlando,2023.0,0.0,0.0,0.0,0.0
12073000400,Leon,False,True,0,1,226.8086963640452,Orlando,2023.0,0.0,0.0,0.0,0.0
12073001500,Leon,False,True,0,1,229.36940018674798,Orlando,2023.0,0.0,0.0,0.0,0.0
12001000400,Alachua,False,True,0,1,106.21596552382888,Orlando,2023.0,0.0,0.0,0.0,0.0
12071050205,Lee,False,True,0,1,107.33026311250325,Fort Lauderdale,2018.0,0.0,0.0,0.0,0.0
12071010203,Lee,False,True,0,1,116.23503334419608,West Palm Beach,2018.0,0.0,0.0,0.0,0.0
12071010303,Lee,False,True,0,1,116.55028014469747,Boca Raton,2022.0,0.0,0.0,0.0,0.0
12071080300,Lee,False,True,0,1,111.95259107817584,West Palm Beach,2018.0,0.0,0.0,0.0,0.0
12071040301,Lee,False,True,0,1,101.00125607064189,Boca Raton,2022.0,0.0,0.0,0.0,0.0
12071020501,Lee,False,True,0,1,112.45416919770672,West Palm Beach,2018.0,0.0,0.0,0.0,0.0
12095014601,Orange,True,False,0,0,11.947710397512372,Orlando,2023.0,0.0,0.0,0.0,0.0
12095017807,Orange,True,False,0,0,21.120596813224672,Orlando,2023.0,0.0,0.0,0.0,0.0
12095014702,Orange,True,False,0,0,12.825130000840161,Orlando,2023.0,0.0,0.0,0.0,0.0
12095014400,Orange,True,False,0,0,7.9808263061946345,Orlando,2023.0,0.0,0.0,0.0,0.0
12095016302,Orange,True,False,0,0,13.397101239081971,Orlando,2023.0,0.0,0.0,0.0,0.0
12095012305,Orange,True,False,0,0,16.12156844777954,Orlando,2023.0,0.0,0.0,0.0,0.0
12095013802,Orange,True,False,0,0,6.902500901537524,Orlando,2023.0,0.0,0.0,0.0,0.0
12095016717,Orange,True,False,0,0,8.615339829195607,Orlando,2023.0,0.0,0.0,0.0,0.0
12021010420,Collier,False,True,0,1,97.0774776323341,Fort Lauderdale,2018.0,0.0,0.0,0.0,0.0
12011050100,Broward,True,False,0,0,5.451123418188635,Fort Lauderdale,2018.0,0.0,0.0,0.0,0.0
12011060111,Broward,True,False,0,0,10.041904846380419,Fort Lauderdale,2018.0,0.0,0.0,0.0,0.0
12011040802,Broward,True,False,0,0,1.710203762747258,Fort Lauderdale,2018.0,0.0,0.0,0.8955200884359088,0.10447991156408469
12011091100,Broward,True,False,0,0,5.44451947392828,Aventura,2022.0,0.0,0.0,0.0,0.0
12011060109,Broward,True,False,0,0,6.581295754092617,Fort Lauderdale,2018.0,0.0,0.0,0.0,0.0
12011060302,Broward,True,False,0,0,5.451253687493709,Fort Lauderdale,2018.0,0.0,0.0,0.0,0.0
12011110319,Broward,True,False,0,0,7.91156556671874,Aventura,2022.0,0.0,0.0,0.0,0.0
12011020311,Broward,True,False,0,0,11.739600536943007,Boca Raton,2022.0,0.0,0.0,0.0,0.0
12011091202,Broward,True,False,0,0,5.9749159709884525,Aventura,2022.0,0.0,0.0,0.0,0.0
12011020405,Broward,True,False,0,0,6.937859037717385,Fort Lauderdale,2018.0,0.0,0.0,0.0,0.0
12011010102,Broward,True,False,0,0,3.826277081752614,Boca Raton,2022.0,0.0,0.0,0.0,0.0
12057002200,Hillsborough,False,True,0,1,75.71848375796495,Orlando,2023.0,0.0,0.0,0.0,0.0
12057003300,Hillsborough,False,True,0,1,75.32816408997242,Orlando,2023.0,0.0,0.0,0.0,0.0
12057006200,Hillsborough,False,True,0,1,80.26115880483312,Orlando,2023.0,0.0,0.0,0.0,0.0
12057011103,Hillsborough,False,True,0,1,73.16615083093478,Orlando,2023.0,0.0,0.0,0.0,0.0
12057011414,Hillsborough,False,True,0,1,80.0570876559838,Orlando,2023.0,0.0,0.0,0.0,0.0
12057001400,Hillsborough,False,True,0,1,76.50500520068766,Orlando,2023.0,0.0,0.0,0.0,0.0
12057012301,Hillsborough,False,True,0,1,68.25100123891087,Orlando,2023.0,0.0,0.0,0.0,0.0
12057013305,Hillsborough,False,True,0,1,67.64209421614285,Orlando,2023.0,0.0,0.0,0.0,0.0
12057013206,Hillsborough,False,True,0,1,66.58917354516026,Orlando,2023.0,0.0,0.0,0.0,0.0
12086002900,Other,False,False,0,0,1.7671751848098927,MiamiCentral,2018.0,0.0,0.0,0.7971663888250257,0.20283361117497442
12086009020,Other,False,False,0,0,10.943094381423707,MiamiCentral,2018.0,0.0,0.0,0.0,0.0
12086016100,Other,False,False,0,0,14.97542242734637,MiamiCentral,2018.0,0.0,0.0,0.0,0.0
12086013000,Other,False,False,0,0,11.46601030815961,MiamiCentral,2018.0,0.0,0.0,0.0,0.0
12086002404,Other,False,False,0,0,2.750573882329643,MiamiCentral,2018.0,0.0,0.0,0.0,0.9054251567682516
12086005410,Other,False,False,0,0,2.1129376327168305,MiamiCentral,2018.0,0.0,0.0,0.251176944932083,0.7488230550679285
